Company ID,Companies,Last Financing Valuation,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Type 3,First Financing Deal Class,Active Investors,Ownership Status,Primary Industry Code,Last Financing Date,Last Financing Size,Last Financing Deal Type,Primary Contact,Company Financing Status,Year Founded,HQ Location,Website,Description,PitchBook Link
471649-87,Cykura,,23-Jun-2021,0.01,,Grant,,,Other,"CMS Holdings (New York), Coin98 Finance, Cryptomeria Capital, Digital Strategies, Gate.io, GTA Ventures, Hashkey Capital, Huobi Ventures, Illusionist Group, MXC Pro Capital, PetRock Capital, SkyVision Capital, Solana Capital, Solana Labs, Solanium Ventures, Youbi Capital",Privately Held (backing),Financial Software,06-Sep-2021,2.10,Seed Round,Shardul Shardul,Venture Capital-Backed,2021,India,cykura.io,"Developer of a concentrated liquidity market maker platform intended to set price ranges that are aggregated and placed on corresponding order books. The company's platform leverages the capital efficiency of concentrated liquidity combined with the flexibility of order books to transform the decentralized finance landscape, enabling liquidity providers to bind their assets at a price range of their choice.",View company online
494561-44,D-Bank,,,,,Early Stage VC,,,Venture Capital,"Askari Bank, Kleiner Perkins, Nubank, Rayn Group, Sequoia Capital",Privately Held (backing),Other Commercial Banks,28-Jul-2022,17.60,Seed Round,Tania Aidrus,Venture Capital-Backed,2022,"Islamabad, Pakistan",dbank.pk,Developer of digital bank intended to provide banking services to the customers digitally. The company is currently operating in Stealth mode.,View company online
503592-04,D.G.Pals,,19-Jul-2022,,,Early Stage VC,,,Venture Capital,"Cronos Labs, Crypto.com Capital, FineWill Capital, Mighty Jaxx, Spartan Group",Privately Held (backing),Entertainment Software,19-Jul-2022,,Early Stage VC,Samson Oh,Venture Capital-Backed,2021,Singapore,dgpals.io,"Operator of gaming platform intended to create an entire ecosystem of games in which NFTs will be able to participate. The Company's blockchain games D.G.P: New World and D.G.P: Legends present a multiplayer squad-battler game mode where players use their NFTs to compete for monetary rewards, enabling users to explore the cronos metaverse with their Non-Fungible Tokens.",View company online
489711-79,Dana Fintech,,02-Nov-2021,0.20,,Accelerator/Incubator,,,Other,Accelerating Asia,Privately Held (backing),Business/Productivity Software,02-Nov-2021,0.20,Accelerator/Incubator,Gazi Mohammed,Accelerator/Incubator Backed,2021,"Dhaka, Bangladesh",www.dana.money,"Developer of a credit scoring engine and API platform, designed to help financial institutions to offer digital loans and pay later facilities. The company's scoring engine can give anyone a credit score based on device data, partner data, API data, psychometric tests, and demographic information of underbanked and credit-excluded borrower's credit, helping digital platforms and banks to offer digital loans to MSMEs and individuals instantly.",View company online
493735-96,DAOFAB,,01-Jun-2020,0.05,,Seed Round,Seed Round,,Venture Capital,F10,Privately Held (backing),Financial Software,15-Jul-2021,0.02,Accelerator/Incubator,Rena Pan,Venture Capital-Backed,2020,"Singapore, Singapore",www.daofab.com,"Developer of a digital escrow platform designed to offer safe and efficient commercial transactions. The company's platform utilizes blockchain technology to allow users to receive and send multi-currency digital tokens and assets via the company's digital wallet as well as earn interest on tokens, enabling businesses to accept, process and disburse money in a more efficient and transparent way.",View company online
459153-55,DAOfi,,03-Sep-2020,6.00,,Early Stage VC,,,Venture Capital,"Bitrise Capital, Blockstar Technologies, BR Capital, DeltaHub Capital, Fairum Ventures, Maven 11 Capital, OnBlock Ventures, Vendetta Capital",Privately Held (backing),Financial Software,03-Sep-2020,6.00,Early Stage VC,Andrew Lee,Venture Capital-Backed,2020,Hong Kong,www.daofi.org,"Developer and operator of a decentralized exchange that allows for fully customizable bonding curves. The company's decentralized exchange provides a seamless way to form markets for digital assets, ensuring steady growth and participation from a community.",View company online
493621-39,DaoLens,,13-Jul-2022,5.00,,Seed Round,Seed Round,,Venture Capital,"Arjun Sethi, Balaji Srinivasan, Better Capital (San Francisco), Gokul Rajaram, iSeed (India), Kunal Bahl, Kunal Shah, Manish Agarwal, Narendra Rathi, Neeraj Khandelwal, Nexus Venture Partners, Rajiv Gokal, Rohit Bansal, Sanat Rao, Sandeep Nailwal, Simon Doherty, Sumit Gupta, Titan Capital, Vishal Gupta",Privately Held (backing),Other Financial Services,13-Jul-2022,5.00,Seed Round,Apoorv Nandan,Venture Capital-Backed,2022,"Wilmington, DE",www.daolens.com,"Developer of a B2D (Business to DAO) infrastructure and tooling suite designed to offer a marketplace for individuals to work on different projects. The company's platform offers a host of SAAS solutions tackling the verticals such as discovery, DAO(Decentralized Autonomous Organizations) contributor onboarding, admin dashboard, project, contribution, and community management, and also DAO operations that include playbooks, enabling users to optimize their operations and establish benchmarks and blueprints for their work.",View company online
465625-36,DAOventures,,04-Dec-2020,0.10,,Accelerator/Incubator,,,Other,"Antler, Ascensive Asset Management, Astronaut Capital, AVSTAR capital, Black Edge Capital, Faculty Capital, Genesis Block Ventures, Jun Capital, Magnus Capital, Moonrock Capital, Plutus.VC, Techstars, White palm ventures, Wings Ventures, X21 Digital",Privately Held (backing),Financial Software,08-Apr-2022,0.02,Accelerator/Incubator,Alvin Foo,Venture Capital-Backed,2020,"Singapore, Singapore",www.daoventures.co,"Developer of a multi-chain Defi investing platform designed for fund managers and crypto investors. The company's platform allows customers to invest in decentralized finance products by generating optimized risk-adjusted returns for depositors of various cryptocurrencies via multiple lending protocols, liquidity pools, and specialized strategies and also provides a wide range of services, thereby enabling crypto investors to decentralized finance with trust and simplicity.",View company online
471973-24,DareNFT,,03-Dec-2021,2.40,,Early Stage VC,,,Venture Capital,"Assembly Partners, AU21 Capital, Basics Capital, Black Mamba Ventures, Black Ventures, BMW Capital, BSC Investors, Clovers Ventures, DEC.Ventures, Dutch Crypto Investors, Eagle Rise Capital, Game, Grain & Barrel Spirits, HelloCandy Capital, Infinity Capital (Vietnam), Kardia Ventures, Kyber Network, Lua Ventures, M6 Ventures, Magnus Capital, Mayor Capital, MG Ventures, Moonwhale, OnBlock Ventures, Onebit Ventures, OneSoft Game Studio, SpaceFund, Synapse Venture Capital, Titans ventures, TK Ventures, VBventures, X21 Digital, ZBS Capital",Privately Held (backing),Financial Software,03-Dec-2021,2.40,Early Stage VC,Duke Nguyen,Venture Capital-Backed,2021,"Rangoon road, Singapore",www.darenft.com,"Developer of an NFT 2.0 platform designed for digital asset metaverse. The company's platform offers a launchpad onboarding non-NFT games and marketplaces for rent-to-earn & lease-to-earn game items, enabling clients to reflect on the beneficial relationship between digital assets.",View company online
462641-95,Databakery.io,,,0.06,,Accelerator/Incubator,,,Other,Cyberport Hong Kong,Privately Held (backing),Business/Productivity Software,,0.06,Accelerator/Incubator,,Accelerator/Incubator Backed,2020,"Kwun Tong, Hong Kong",www.databakery.io,"Developer of an AI assistant intended to provide sales analysis, profit and loss analysis and take actionable decision. The company's platform provides cause and effect analytics for sales performance in an organization, provides a strategic approach that is to be taken for enhancing operational performance, enabling organizations to track past decisions and plan future actions for upscaling its financial record.",View company online
470550-88,DCX,,13-Jul-2021,,,Early Stage VC,,,Venture Capital,"Blockchain Valley Ventures, Draper Venture Network, Fujitsu Ventures, Wavemaker Partners",Privately Held (backing),Financial Software,13-Jul-2021,,Early Stage VC,Stephen Edkins,Venture Capital-Backed,2020,"Singapore, Singapore",www.dcx.group,"Developer of a digital trading platform designed to bring transparency and liquidity to rice, fertilizers, and other commodities. The company's platform engages in integrated and secure blockchain online ecosystems to trade and delivers physical commodities in global markets, ensuring reliability in the supply chain, enabling users to get the optimal deals for finance, freight, and insurance.",View company online
436898-44,Decentro,,01-Jan-2020,0.13,1.79,Accelerator/Incubator,,,Other,"Constellation Ventures, FundersClub, Gaurav Sharma, Jatin Mazalcar, Kishore Ganji, Locus Ventures, Musha Ventures, Nama Ventures, Pawan Gupta, Plug and Play Tech Center, Prasetia Dwidharma, Rajesh Dembla, Sanjeev Barnwal, Steven Sule, Unpopular Ventures, Upsparks, VentureSouq, Vidit Aatrey, Y Combinator",Privately Held (backing),Financial Software,01-Sep-2022,,Seed Round,Rohit Taneja,Venture Capital-Backed,2020,"Bengaluru, India",www.decentro.tech,"Developer of an API banking software designed to launch banking products in a hassle-free way. The company's platform integrates with desired banking APIs permitting financial integrations with a few lines of code and simplifying the product development cycle, enabling clients to get customized and make the desired modules available in a simple format with automation features.",View company online
493191-28,Decillion Capital,,21-Jul-2021,,,Seed Round,Seed Round,,Venture Capital,,Privately Held (backing),Other Financial Services,21-Jul-2021,,Seed Round,Hidefumi Murakami,Venture Capital-Backed,2020,"Tokyo, Japan",www.decillion.jp,"Developer of a mergers and acquisition platform intended to simplify the complications of the process. The company's platform allows sellers to directly contact the investment managers of listed companies that are willing to take over, or invest, enabling clients to make investments in other companies, look for acquisition and merger opportunities, and receive funding.",View company online
497662-12,Deciml,,31-May-2022,1.00,,Seed Round,Seed Round,,Venture Capital,"Agility Venture Partners, Bhuvan Bam, Gaurav Munjal, Mukund Jha, MyAsiaVC, Praful Billore, Raj Shamani, Ranveer Allahbadia, Raunak Munot, Ritesh Malik, Rohit Raj, Suhani Shah, Unnati Labs, Varun Thakur, Viraj Sheth",Privately Held (backing),Financial Software,31-May-2022,1.00,Seed Round,Satyajeet Kunjeer,Venture Capital-Backed,2020,"Pune, India",www.deciml.in,"Operator of a micro-investing platform intended to save money. The company's platform automatically rounds up online transactions and instantly invests the spare change, enabling users to increase their savings.",View company online
465384-34,DeCus (China),,04-Mar-2021,,,Seed Round,Seed Round,,Venture Capital,"7 Star Capital, DODO Exchange, FBG Capital, IMO Ventures, MCDEX, Parallel Ventures (China), Puzzle Ventures, SevenX Ventures, YBB foundation",Privately Held (backing),Financial Software,04-Mar-2021,,Seed Round,Iris Sun,Venture Capital-Backed,2020,"Beijing, China",decus.io,Developer of cross-chain custody system. The company is a high capital efficiency cross-chain custody system based on innovate algorithms by offering infrastructure to make token flow across different blockchains and a safe way to leverage the utilization rate of crypto assets.,View company online
497844-82,Deefy,,,,,Early Stage VC,,,Venture Capital,"100X.VC, PolygonLEAP",Privately Held (backing),Application Software,22-Mar-2022,0.01,Accelerator/Incubator,Amogh Tiwari,Venture Capital-Backed,2020,"New Delhi, India",www.deefy.co,"Developer of decentralized protocol designed for financial services. The company's protocol is built on major public blockchains that allow essential financial services for NFTs such as Buying, Renting, Lending, and Pay Later administered by smart contracts, enabling users to generate value through their NFTs.",View company online
489136-96,DeepGo,,,,,Early Stage VC,,,Venture Capital,"7 oClock Capital, Catcher VC, DODO, IT Capital, Jinlin Capital, LINKVC, Panda Capital",Privately Held (backing),Other Financial Services,,,Early Stage VC,ZJ Chen,Venture Capital-Backed,2020,"Singapore, Singapore",www.deepgo.io,"Developer of Robo advisory platform intended to create web3 community. The company's platform offers asset management tools, quantitative analysis for tokens and portfolios, the huddle system, and social interactive features, enabling customers to get transparent info and investment strategy.",View company online
503308-09,Deesse,,07-Dec-2021,0.02,,Seed Round,Seed Round,,Venture Capital,"AU21 Capital, Metaverse Capital, NGC Capital, Polygon, Polygon Studios, Republic Capital, Tron Dao",Privately Held (backing),Entertainment Software,07-Dec-2021,0.02,Seed Round,,Venture Capital-Backed,2021,"Tokyo, Japan",deesse.art,"Developer of blockchain game intended to disrupt the enjoy-to-earn ecosystem. The company focuses on sustainability and matured gaming tech/art support, mobile games with role-playing game combats, collectible NFTs that are an integral part of the gameplay, and form countless strategies with different weapons and equipment, enabling gamers to enjoy earning while spending their favorite pastime.",View company online
471791-80,DeFi Land,,23-Jun-2021,0.01,,Grant,,,Other,"3Commas, 6th Man Ventures, Alameda Research, Animoca Brands, Ankr, Assembly Partners, Caballeros Capital, Coin98 Finance, CryptoJ, Cryptomeria Capital, Dialectic (Zug), Double Peak, Financial Media Exchange, Fourth Revolution Capital, FTX, Gate.io, Genesis Block Ventures, Illusionist Group, Jump Capital, Kyros Ventures, Mapleblock, Master Ventures, MEXC, NGC Ventures, Rarestone Capital, ROK Capital, Santiago Santos, Sebastien Borget, Serum, SkyVision Capital, Solana Foundation, Solar Eco Fund, Transfero, W ventures(VC), Walsh Wealth Ventures, Wave7, Youbi Capital",Privately Held (backing),Entertainment Software,01-Jul-2021,4.10,Early Stage VC,,Venture Capital-Backed,2021,Taiwan,www.defiland.app,"Developer of a multi-chain agriculture simulation intended to gamify decentralized finance platforms. The company's platform runs on pre-built platforms, users can use AMM / DEX /lending protocols and offer all the functions of traditional games, thereby creating a fun and interactive way for non-crypto users to get on board.",View company online
483725-53,DeFi Warrior,,20-Aug-2021,2.30,,Early Stage VC,,,Venture Capital,"AstroV Ventures, BAP Ventures Company, Bas Ventures, Basics Capital, Blockdream Ventures, BSCStation, Coin98 Finance, Everse Capital, Exnetwork Capital, FIM Ventures, GFS Ventures, GTA Ventures, HelloCandy Capital, HyperChain Capital, Infinity Capital (Vietnam), KCC Ventures, Kyber Network, LaunchZone, Lua Ventures, Master Ventures, Megala Ventures, Momentum6, MoonBoots Capital, NGC Ventures, SenGuild, Signum Capital, Spark Digital Capital, SS Ventures, TAG Ventures (Vietnam), Titans ventures, TomoChain, VBC Ventures, Walsh Wealth Ventures, X21 Digital",Privately Held (backing),Entertainment Software,01-Jan-2022,,Early Stage VC,Victor Truong,Venture Capital-Backed,2021,Vietnam,defiwarrior.io,"Developer of a blockchain-based game platform designed for players to receive profits by fighting with cryptocurrencies. The company has a play and earn platform for players where each blockchain is a planet and each crypto is a warrior, enabling users to earn rewards by building their coin mining factory and fighting against bosses or enemies.",View company online
467878-78,Defi11,,22-Mar-2021,0.10,,Accelerator/Incubator,,,Other,"A195 Capital, Alphabit, AU21 Capital, BBS Capital, Biconomy, Blockchain Capital, Dadventures (India), Defied Bank, Empire Global Gaming, Fomocraft Ventures, GD10 Ventures, Global Blockchain Ventures, Kangaroo Capital, Kyros Ventures, Launchpool, LVT Capital, Magnus Capital, MintedLab, NonceBlox, NonceVC, O1ex, Phoenix VC, Propeller, Protocol Ventures, Synergia Capital Partners, TDeFi, Titans ventures, Trustdao Capital, X21, Zero2Launch, Zokyo Studio",Privately Held (backing),Entertainment Software,04-Jun-2021,3.50,Seed Round,Ritam Gupta,Accelerator/Incubator Backed,2020,"New Delhi, India",www.defieleven.com,"Developer of a fantasy sports mobile application designed to remove frauds and lack of transparency. The company's application offers sports betting, NFT gaming, liquidity pool, prediction games, staking, swapping, and rewards, enabling players to interact with a seamless universe with the ability to bet on in-game teams, events, and contests.",View company online
491573-98,DeFiato,,19-Jan-2022,,,Early Stage VC,Series A,,Venture Capital,"R-930 Capital, Redline DAO, Spring Dawn Ventures, ZBS Capital",Privately Held (backing),Financial Software,19-Jan-2022,,Early Stage VC,William Nguyen,Venture Capital-Backed,2020,"San Jose, CA",www.defiato.com,"Developer of a decentralized fintech platform designed to eliminate technical barriers and financial risks. The company's platform enables on-chain liquidity through various pools, across different chains, offers fiat on-ramp through prime trust, can also deposit, withdraw, swap, stake, farm cryptocurrencies, and also assists peer-to-peer transactions, enabling users to gain access to hundreds of Defi services on its aggregated, centralized system.",View company online
439354-00,DefiDollar,,28-Oct-2020,1.20,,Seed Round,Seed Round,,Venture Capital,"Accomplice VC, Alliance DAO, Altonomy, Andrew Keys, Binance Labs, Bollinger Investment Group, CMS Holdings (New York), CoinGecko, Divergence Ventures, Imran Khan, Jaynti Kanani, Jordan Momtazi, Julien Bouteloup, Kain Warwick, LedgerPrime, MetaCartel Ventures, ParaFi Capital, Philip Moore, Pnyx Ventures, Qiaoqin Wang, Ravindra Kumar, Sandeep Nailwal, Sergei Chan, Standard Crypto",Privately Held (backing),Financial Software,12-Feb-2021,0.05,Early Stage VC,Arpit Agarwal,Venture Capital-Backed,2020,"Bengaluru, India",www.dusd.finance,"Provider of a meta stablecoin index intended to diversify and de-risk the stablecoin holdings in a simple manner. The company's index helps in diversifying stablecoin holdings to hedge against an event where the underlying stablecoins deviate from their peg, enabling users to earn yields with low volatility.",View company online
470530-63,DeFine (Social/Platform Software)),,20-Jul-2021,5.00,,Early Stage VC,,,Venture Capital,"Abyss Company, Draper Dragon, HG Ventures (South Korea), Huobi Ventures, NGC Ventures, Pearl Abyss, Polygon, SevenX Ventures",Privately Held (backing),Social/Platform Software,18-Nov-2021,,Early Stage VC,Myounghoon Kang,Venture Capital-Backed,2021,South Korea,www.define.one,"Developer of a social NFT platform designed to provide multiple innovative modules to incentivize both the creator and community. The company's platform facilitates all social interaction, engagement, and communication for creators and their fanbase with digital assets like NFTs and social and fan tokens, enabling creators including artists, musicians, influencers, gamers, and athletes to facilitate engagement and social interaction.",View company online
490824-91,Dehidden,,01-Jan-2021,,,Seed Round,Seed Round,,Venture Capital,"Alvin Tse, Musha Ventures",Privately Held (backing),Financial Software,01-Jan-2021,,Seed Round,Dhruva Chakravarthi,Venture Capital-Backed,2021,Singapore,www.dehidden.com,"Developer of a no-code interface designed to access and launch immersive non-fungible tokens. The company's platform allows launching smart NFT experiences in a completely visual canvas, with no code, enabling creators to access NFT easily and providing them with multi-chain support to unlock utilities for the NFT.",View company online
501949-63,DeHR Network,,13-Dec-2021,,,Seed Round,Seed Round,,Venture Capital,"Avalon Wealth Club, Azcoinvest, Azer Capital, BAS Alliance, BSCStation, BullishBlock Capital, Buono Investment Club, Coincu Ventures, CoinTV Ventures, Dutch Crypto Investors, Fomocraft Ventures, GEM Capital, INTR Ventures, Kardia Ventures, Kretos Ventures, LFG Ventures (VC), Lighthouse Group (Michigan), meta seed ventures, MH ventures, OIG, Onebit Ventures, Poolz ventures, R-930 Capital, RADA, SS Ventures, Thetan arena, ThinksmartBrother Capital, Titans ventures, Verichains, vndc stablecoin, Wildcat Venture Partners, X99 Ventures",Privately Held (backing),Financial Software,01-Sep-2022,,Secondary Transaction - Private,Vince Hoang,Venture Capital-Backed,2021,"Ho Chi Minh, Vietnam",www.dehr.network,"Developer of a decentralized social career metaverse where people fully control data to earn incomes, global jobs and relationships.The company's application connect and exchange data on a daily basis and let its users earn tokens, enabling job seekers and students to connect directly to employers in a safe and authenticated method.",View company online
483745-96,DeltaFi,,01-Jan-2021,,,Early Stage VC,,,Venture Capital,"Hashed (Accelerator), HashKey Digital Asset Group, HG Ventures (South Korea), Jump Capital",Privately Held (backing),Financial Software,01-Jan-2021,,Early Stage VC,Xin Jin,Venture Capital-Backed,2021,"Mountain View, CA",www.deltafi.ai,"Developer of blockchain platform designed to provide decentralized finance programs. The company's platform uses decentralized finance (Defi) protocols to provide the decentralized exchange with market-making services, enabling professional market makers to resolve the flexibility problem in the development process.",View company online
492727-33,Desyn,,25-Aug-2021,1.40,,Seed Round,Seed Round,,Venture Capital,"Asymmetries Technologies, AZ Digital Asset Group, Blockdream Ventures, CatcherVC, Chiron Partners, Consensus Lab (Blockchain investor), EcoFund, Everest Ventures Group, EVG Thueringen, Fenbushi Capital, Incuba Alpha, JDAC Capital, Joseph Eagan, Kosmos Ventures, Lancer Capital, LD Capital, LucidBlue Ventures, Mentha Partners, MEXC, MH ventures, Outliers Fund, Paka Fund, SNZ Holding, Spark Digital Capital, TGE Capital, Ticker Capital, TKX Capital, TPS Capital, TRON Group, United WestLabs, Zonff Partners",Privately Held (backing),Other Financial Services,23-Feb-2022,5.00,Early Stage VC,Lin Yuan,Venture Capital-Backed,2021,China,www.desyn.io,"Designer and operator of a new generation of DeFi derivatives protocol. The company's DeFi protocol allows users to create and trade pools-based assets such as ETFs/Portfolios, levered assets, and more via smart contract, enabling its clients to get a secure, transparent and affordable access to create and trade various innovative financial products, including ETFs, Portfolios and more, thus to actively promote an equal financial inclusion around the world.",View company online
497802-97,Detion,,14-Sep-2020,,,Seed Round,Seed Round,,Venture Capital,Bigbang Angels,Privately Held (backing),Application Software,14-Sep-2020,,Seed Round,Wooseok Yang,Venture Capital-Backed,2020,"Seoul, South Korea",detion.me,"Developer of a mobile application designed to combine eKYC authentication using e-passport and card payment to internet duty-free shops. The company offers eKYC, online service onboarding, eCommerce, mobile passport, crossborder payment, crypto exchange, providing clients with mobile identity authentication methods for each country.",View company online
472227-67,Dezerv,100.00,01-Sep-2021,6.72,18.11,Seed Round,Seed Round,,Venture Capital,"Aashish Sommaiyaa, Accel, Akash Saxena, Asish Mohapatra, Blume Ventures, Chandrakant Shah, Draper Venture Network, Elevation Capital (India), GTM Ventures, Karthik Rangarajan, Kunal Shah, Matrix Partners India, Neeraj Goenka, Nitin Gupta, Ramakant Sharma, Revant Bhate, RK Kedia, Ruchi Kalra, Sanjeev Barnwal, Shashvat Nakrani, Suhail Sameer, Taparia Family Office, Varun Dua, Vidit Aatrey, Whiteboard Capital",Privately Held (backing),Other Financial Services,03-Aug-2022,20.70,Early Stage VC,Sandeep Jethwani,Venture Capital-Backed,2021,"Mumbai, India",www.dezerv.in,"Operator of a fintech platform intended to provide wealth management services. The company leverages experience in investment to provide integrated portfolio services, access to pre-IPO and startup investing and allows users to consult with experts along with a weekly newsletter, enabling investors to get personalized solutions for their investment and earn better returns.",View company online
471958-57,DeZy (Financial Software),,15-Sep-2021,,,Seed Round,Seed Round,,Venture Capital,"DeFiance Capital, HH Investments VC, Hui Sia, Impiro, Ishan Agrawal, Iterative Capital, Kelvin Teo, Leo Capital, Michael Ng, Nihit Nirmal, Sharon Paul, Tianwei Liu",Privately Held (backing),Financial Software,28-Feb-2022,2.20,Seed Round,Eric Dadoun,Venture Capital-Backed,2021,"Singapore, Singapore",www.dezy.sg,"Developer of a fintech platform designed to simplify access to decentralized finance. The company's Defi protocol is focused on the technology layer that converts Singapore dollars into stablecoins and automatically deploys funds into a range of decentralized finance protocols, thereby helping customers grow their wealth without having to understand the intricacies of blockchain.",View company online
465672-88,Dfyn,,27-Oct-2020,0.10,,Accelerator/Incubator,,,Other,"HelloCandy Capital, TDeFi",Privately Held (backing),Other Financial Services,,,Early Stage VC,Ramani Ramachandran,Venture Capital-Backed,2020,"Singapore, Singapore",www.dfyn.network,"Developer of a multichain automated market maker decentralized exchange intended to work on the Polygon network. The company's nodes act as liquidity entry and exit points on various chains into the cross-chain liquidity super mesh, enabling clients to acquire a customizable market-making toolkit that addresses inefficiencies.",View company online
495404-56,Diamond Protocol,,08-Apr-2022,0.50,,Early Stage VC,,,Venture Capital,"Infinity Ventures Crypto, Perpetual Protocol, Tokocrypto",Privately Held (backing),Financial Software,08-Apr-2022,0.50,Early Stage VC,Anderson Chen,Venture Capital-Backed,2021,"Singapore, Singapore",dmo.finance,"Developer of crypto investment platform designed to transpose the complex trading strategies and make them available for all crypto investors. The company's platform allows individual traders and fund managers to deploy their strategies through Defi or GameFi on different blockchains, enabling users to build their own custom and secure crypto vaults.",View company online
458572-87,Difenz,2.62,20-Oct-2020,0.44,2.50,Seed Round,Seed Round,,Venture Capital,8i Ventures,Privately Held (backing),Business/Productivity Software,30-Nov-2021,0.21,Early Stage VC,Madhu Srinivas,Venture Capital-Backed,2020,"Bengaluru, India",www.difenz.com,"Developer of a transaction monitoring system designed to reduce risk and operational costs. The company's system is an AI-powered tool that detects suspicious and fraudulent transaction anomalies that support enterprises in mitigating risk from anti-money laundering merchant acquiring frauds, issuance frauds, accounts take-over, and enterprise risk, enabling clients to develop a fraud response plan to address cases of alleged or confirmed fraud.",View company online
468976-15,DigiSparsh,,22-Jun-2021,,,Seed Round,Seed Round,,Venture Capital,"Capital A (India), GoAhead Ventures, Windrose Capital (Pune)",Privately Held (backing),Specialized Finance,,6.50,Early Stage VC,Akhilesh Gandhi,Venture Capital-Backed,2020,"Mumbai, India",www.digisparsh.in,"Developer of a financial service platform designed to offer credit options to patients. The company's platform offers lending services including insurance receivable financing, supplier financing, and patient financing to the entire value chain of the healthcare ecosystem, providing healthcare facilities and treatment to its customers and solving the problem of working capital of hospitals by funding the insurance amount in a few hours.",View company online
493848-91,Digital Platformer,9.14,10-Mar-2021,1.07,3.33,Early Stage VC,,,Venture Capital,"Accrete (Other Communications and Networking), Microsoft for Startups, Revamp, Tokai Tokyo Investment, Tokyo Kantai",Privately Held (backing),Financial Software,18-Apr-2022,2.43,Early Stage VC,Yoshiyuki Yamada,Venture Capital-Backed,2020,"Tokyo, Japan",www.digitalplatformer.co.jp,"Developer of digital currency and identity platforms designed to promote the digitization of society using blockchain technology. The company's SaaS platform offers automatic payment collection, share finance, token economy, asset management, data analysis, and also issues safe and convenient digital currencies to local governments and regional banks, enabling users to use the latest blockchain without investing a large amount of system investment and bringing the cost of moving money as close to zero as possible.",View company online
482356-36,Digital Supply Chain Technology,,11-Oct-2021,10.00,,Angel (individual),Angel (individual),,Individual,Tongyu Sun,Privately Held (backing),Specialized Finance,11-Oct-2021,10.00,Angel (individual),Gang Yan,Angel-Backed,2021,"Zhengzhou, China",www.shdatalink.com,"Developer of a big data platform designed for the commodity supply chain. The company uses artificial intelligence, big data, cloud computing, and blockchain technologies to realize the digitalization, transparency, and standardization of the entire physical commodity transaction process, enabling small and medium-sized enterprises in the industry chain to enjoy more convenient, more efficient, and lower-cost financing services.",View company online
462645-28,digiXnode Technology,,,0.06,,Accelerator/Incubator,,,Other,Cyberport Hong Kong,Privately Held (backing),Business/Productivity Software,,0.06,Accelerator/Incubator,Ricky Lui,Accelerator/Incubator Backed,2020,"Hong Kong, Hong Kong",www.digixnode.io,"Developer of business software designed to leverage blockchain technologies. The company's software offers a preferred secure and trusted marketplace for digital assets and services by using distributed ledger technologies including blockchain, to empower cross-border exchanges of data, services, talents and value, enabling developers and enterprises to have quick, easy and economical access to blockchain infrastructure.",View company online
481768-66,Dillali,1.25,07-Dec-2020,0.07,,Accelerator/Incubator,,,Other,"Lemonade Stand (Estonia), Startup Wise Guys",Privately Held (backing),Financial Software,03-Dec-2021,0.17,Seed Round,Ibrahim Bashir,Accelerator/Incubator Backed,2020,"Tallinn, Estonia",www.dillali.com,"Developer of an income and expense management tool designed for micro and small businesses to manage their financial records all in one place. The company platform offers services to manage clients, quotes, generate and manage invoices, expenses, inventory, receipts, and automatic payment requests all in one place, enabling small businesses to manage their financial records easily by transitioning from paper-based systems to digital.",View company online
492593-86,Divergence (Financial Software),,09-Jun-2021,2.90,,Seed Round,Seed Round,,Venture Capital,"Arrington Capital, AscendEX, Assembly Partners, Autonomy Capital (Malta), CryptoJ, Digital Finance Group, Do Kwon, Focus Labs, Hashkey Capital, Huobi Ventures, Igor Barinov, KR1, Kyros Ventures, Mechanism Capital, Nothing Research, Orthogonal Trading, P2P Capital, Sandeep Nailwal, Shichao Dai, Taureon (Investor), Youbi Capital",Privately Held (backing),Financial Software,13-Sep-2021,3.60,Early Stage VC,Lianne Li,Venture Capital-Backed,2021,Singapore,www.divergence-protocol.com,"Developer of a cryptocurrency platform designed to trade volatility derivatives. The company's platform provides composable crypto options such as easy-to-trade, synthetic decentralized finance (Defi) asset exposures, and other related solutions, enabling users to trade financial assets using the crypto platform.",View company online
489742-21,Diviner Protocol,,,,,Early Stage VC,,,Corporate,"NFTb Labs, Onebit Ventures",Privately Held (backing),Financial Software,,,Early Stage VC,Anh Dinh,Venture Capital-Backed,2021,Singapore,www.diviner.finance,"Operator of a Non-fungible token platform intended to make lossless predictions on games. The company allows users to lossless predictions, play games freely, earn high returns while providing access to a Non-fungible token ecosystem, providing users a gamified and diversified prediction marketplace.",View company online
501954-49,Djoin,,23-Sep-2020,0.10,,Seed Round,Seed Round,,Venture Capital,,Privately Held (backing),Financial Software,22-Jul-2022,2.00,Seed Round,Wayan Indra Adhi Suputra,Venture Capital-Backed,2020,"Denpasar, Indonesia",www.djoin.id,"Developer of technology platform intended to provide services to microfinance institutions. The company's platform provides services through which customers can manage their staff, handle payments, and collect loan payments from their consumers, providing assistance to regional cooperatives and microfinance organizations.",View company online
